ManufacturerName,DKPartNumber,ProductDescription,QuantityOnHand,AvailableOnOrder,ManfacturerPublicQuantity,UnitPrice,ManufacturerLeadWeeks,StandardPackage,MinimumOrderQuantity,Url,Packaging,Part Status,Capacitance,Tolerance,Voltage - Rated,Type,ESR (Equivalent Series Resistance),Operating Temperature,Lifetime @ Temp.,Mounting Type,Package / Case,Size / Dimension,Height - Seated (Max),Lead Spacing,Manufacturer Size Code,Features,Failure Rate,Notification,Applications,Temperature Coefficient,Thickness (Max),Lead Style,Ratings
"{'Id': '399', 'Text': 'KEMET'}",399-16041-2-ND,CAP TANT POLY 33UF 35V 2917,500,0,0,1.2264,11 weeks,500,500,www.digikey.com/product-detail/en/kemet/T598D336M035ATE065/399-16041-2-ND/7605112,Tape & Reel (TR),Active,33µF,±20%,35V,Molded,65 mOhm @ 100kHz,-55°C ~ 125°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.122"" (3.10mm)",-,D,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,AEC-Q200
"{'Id': '399', 'Text': 'KEMET'}",399-12326-2-ND,CAP TANT POLY 10UF 10V 1206,0,0,0,0.38808,9 weeks,2000,2000,www.digikey.com/product-detail/en/kemet/T520A106M010AHE080/399-12326-2-ND/5452604,Tape & Reel (TR),Active,10µF,±20%,10V,Molded,80 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-4023-2-ND,CAP TANT POLY 47UF 6.3V 3528,22000,0,0,0.33191,29 weeks,2000,2000,www.digikey.com/product-detail/en/kemet/T520B476M006ATE040/399-4023-2-ND/818884,Tape & Reel (TR),Active,47µF,±20%,6.3V,Molded,40 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-4088-2-ND,CAP TANT POLY 220UF 6.3V 2917,0,1000,0,0.59535,22 weeks,1000,1000,www.digikey.com/product-detail/en/kemet/T520V227M006ATE040/399-4088-2-ND/818949,Tape & Reel (TR),Active,220µF,±20%,6.3V,Molded,40 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.075"" (1.90mm)",-,V,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-4054-2-ND,CAP TANT POLY 330UF 6.3V 2917,2000,3000,0,0.62118,5 weeks,500,500,www.digikey.com/product-detail/en/kemet/T520D337M006ATE040/399-4054-2-ND/818915,Tape & Reel (TR),Active,330µF,±20%,6.3V,Molded,40 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.122"" (3.10mm)",-,D,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-4055-2-ND,CAP TANT POLY 330UF 6.3V 2917,21000,42500,0,0.53194,21 weeks,500,500,www.digikey.com/product-detail/en/kemet/T520D337M006ATE045/399-4055-2-ND/818916,Tape & Reel (TR),Active,330µF,±20%,6.3V,Molded,45 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.122"" (3.10mm)",-,D,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-4711-2-ND,CAP TANT POLY 330UF 2.5V 2917,4000,0,0,0.80556,24 weeks,1000,1000,www.digikey.com/product-detail/en/kemet/T520V337M2R5ATE007/399-4711-2-ND/1001010,Tape & Reel (TR),Active,330µF,±20%,2.5V,Molded,7 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.075"" (1.90mm)",-,V,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-11410-2-ND,CAP TANT POLY 330UF 4V 2917,2500,0,0,0.88284,22 weeks,500,500,www.digikey.com/product-detail/en/kemet/T520D337M004ATE012/399-11410-2-ND/4302261,Tape & Reel (TR),Active,330µF,±20%,4V,Molded,12 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.122"" (3.10mm)",-,D,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-12336-2-ND,CAP TANT POLY 33UF 10V 2312,0,0,0,0.9996,14 weeks,1000,1000,www.digikey.com/product-detail/en/kemet/T520U336M010ATE070/399-12336-2-ND/5452614,Tape & Reel (TR),Active,33µF,±20%,10V,Molded,70 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2312 (6032 Metric),"0.236"" L x 0.126"" W (6.00mm x 3.20mm)","0.059"" (1.50mm)",-,U,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-4124-2-ND,CAP TANT POLY 330UF 4V 2917,0,1000,0,3.087,24 weeks,500,500,www.digikey.com/product-detail/en/kemet/T530D337M004ATE006/399-4124-2-ND/818985,Tape & Reel (TR),Active,330µF,±20%,4V,Molded,6 mOhm @ 100kHz,-55°C ~ 125°C,2000 Hrs @ 105°C,Surface Mount,2917 (7343 Metric),"0.287"" L x 0.169"" W (7.30mm x 4.30mm)","0.122"" (3.10mm)",-,D,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-10335-2-ND,CAP TANT POLY 330UF 2.5V 2312,2500,0,0,0.51766,13 weeks,500,500,www.digikey.com/product-detail/en/kemet/T520C337M2R5ATE025/399-10335-2-ND/3760610,Tape & Reel (TR),Active,330µF,±20%,2.5V,Molded,25 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,2312 (6032 Metric),"0.236"" L x 0.126"" W (6.00mm x 3.20mm)","0.110"" (2.80mm)",-,C,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
"{'Id': '399', 'Text': 'KEMET'}",399-5753-2-ND,CAP TANT POLY 150UF 6.3V 3528,38000,24000,0,0.52626,29 weeks,2000,2000,www.digikey.com/product-detail/en/kemet/T520B157M006ATE025/399-5753-2-ND/2230993,Tape & Reel (TR),Active,150µF,±20%,6.3V,Molded,25 mOhm @ 100kHz,-55°C ~ 105°C,2000 Hrs @ 105°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,General Purpose,,Current market demand for these product types have resulted in fluctuating and extending lead times. Lead times may differ.,,,,,-
