Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Unit Price                                                          USD,Minimum Quantity,Packaging,Series,Part Status,Capacitance,Tolerance,Voltage - Rated,Type,ESR (Equivalent Series Resistance),Operating Temperature,Lifetime @ Temp.,Mounting Type,Package / Case,Size / Dimension,Height - Seated (Max),Lead Spacing,Manufacturer Size Code,Ratings,Features,Failure Rate
399-10126-1-ND,T491A474M035AT,KEMET,CAP TANT 0.47UF 35V 20% 1206,"6,494 - Immediate",$0.47000,1,Cut Tape (CT) Alternate Packaging,T491,Active,0.47µF,±20%,35V,Molded,12 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-10128-1-ND,T491A475K025AT,KEMET,CAP TANT 4.7UF 25V 10% 1206,"67,762 - Immediate",$0.47000,1,Cut Tape (CT) Alternate Packaging,T491,Active,4.7µF,±10%,25V,Molded,6 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-10132-1-ND,T491A685K016AT,KEMET,CAP TANT 6.8UF 16V 10% 1206,"2,926 - Immediate",$0.48000,1,Cut Tape (CT) Alternate Packaging,T491,Active,6.8µF,±10%,16V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-3694-1-ND,T491A335K010AT,KEMET,CAP TANT 3.3UF 10V 10% 1206,"9,415 - Immediate",$0.49000,1,Cut Tape (CT) Alternate Packaging,T491,Active,3.3µF,±10%,10V,Molded,6 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-10122-1-ND,T491A225K025AT,KEMET,CAP TANT 2.2UF 25V 10% 1206,"6,617 - Immediate",$0.50000,1,Cut Tape (CT) Alternate Packaging,T491,Active,2.2µF,±10%,25V,Molded,7 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-3706-1-ND,T491B106K016AT,KEMET,CAP TANT 10UF 16V 10% 1411,"137,506 - Immediate",$0.50000,1,Cut Tape (CT) Alternate Packaging,T491,Active,10µF,±10%,16V,Molded,2 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-10448-1-ND,T491A156M006AT,KEMET,CAP TANT 15UF 6.3V 20% 1206,"2,822 - Immediate",$0.52000,1,Cut Tape (CT) Alternate Packaging,T491,Active,15µF,±20%,6.3V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-4630-1-ND,T491A475M025AT,KEMET,CAP TANT 4.7UF 25V 20% 1206,"532,056 - Immediate",$0.52000,1,Cut Tape (CT) Alternate Packaging,T491,Active,4.7µF,±20%,25V,Molded,6 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-9718-1-ND,T491A475M020AT,KEMET,CAP TANT 4.7UF 20V 20% 1206,"4,689 - Immediate",$0.52000,1,Cut Tape (CT) Alternate Packaging,T491,Active,4.7µF,±20%,20V,Molded,4 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-8299-1-ND,T491B106M006AT,KEMET,CAP TANT 10UF 6.3V 20% 1411,"72,917 - Immediate",$0.43000,1,Cut Tape (CT) Alternate Packaging,T491,Active,10µF,±20%,6.3V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
